epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,130.369,2.29984,0.40909,0.81818,1.9971,0.0002175,0.0002175,0.0002175
2,258.156,1.87489,0.625,0.92045,1.4044,0.000431125,0.000431125,0.000431125
3,382.688,1.36925,0.64773,0.94318,1.11087,0.000635945,0.000635945,0.000635945
4,501.356,1.06617,0.71591,0.95455,0.87141,0.00062738,0.00062738,0.00062738
5,638.161,0.86528,0.75,0.97727,0.805,0.000614174,0.000614174,0.000614174
6,748.759,0.69311,0.78409,0.96591,0.75702,0.000600967,0.000600967,0.000600967
7,870.06,0.62639,0.72727,0.95455,0.77801,0.00058776,0.00058776,0.00058776
8,997.061,0.50625,0.77273,0.98864,0.68047,0.000574554,0.000574554,0.000574554
9,1118.57,0.43748,0.82955,0.97727,0.61758,0.000561347,0.000561347,0.000561347
10,1275.78,0.39891,0.82955,0.97727,0.63067,0.000548141,0.000548141,0.000548141
11,1440.96,0.3279,0.82955,0.96591,0.53969,0.000534934,0.000534934,0.000534934
12,1603.25,0.30204,0.86364,0.97727,0.47614,0.000521727,0.000521727,0.000521727
13,1772.87,0.26857,0.85227,0.98864,0.51678,0.000508521,0.000508521,0.000508521
14,1944.12,0.26794,0.875,0.98864,0.44796,0.000495314,0.000495314,0.000495314
15,2108,0.26719,0.86364,0.98864,0.5587,0.000482108,0.000482108,0.000482108
16,2265.83,0.29255,0.875,0.98864,0.48752,0.000468901,0.000468901,0.000468901
17,2422.69,0.19981,0.89773,0.97727,0.47817,0.000455694,0.000455694,0.000455694
18,2581.23,0.18613,0.88636,0.97727,0.39882,0.000442488,0.000442488,0.000442488
19,2743.11,0.17394,0.875,0.98864,0.50639,0.000429281,0.000429281,0.000429281
20,2901.31,0.15787,0.92045,0.98864,0.41582,0.000416075,0.000416075,0.000416075
21,3058.3,0.15531,0.89773,0.98864,0.36716,0.000402868,0.000402868,0.000402868
22,3201.54,0.09919,0.90909,0.98864,0.40247,0.000389661,0.000389661,0.000389661
23,3320.43,0.11828,0.89773,0.98864,0.4481,0.000376455,0.000376455,0.000376455
24,3436.08,0.09719,0.86364,0.98864,0.4621,0.000363248,0.000363248,0.000363248
25,3572.6,0.09711,0.90909,0.97727,0.41385,0.000350042,0.000350042,0.000350042
26,3709.73,0.13122,0.89773,0.98864,0.3501,0.000336835,0.000336835,0.000336835
27,3846.02,0.09634,0.88636,0.98864,0.40283,0.000323628,0.000323628,0.000323628
28,3958.08,0.10716,0.88636,0.98864,0.3464,0.000310422,0.000310422,0.000310422
29,4070.41,0.11209,0.90909,0.98864,0.37806,0.000297215,0.000297215,0.000297215
30,4188.49,0.09868,0.89773,0.98864,0.39527,0.000284009,0.000284009,0.000284009
31,4322.57,0.08281,0.90909,0.98864,0.43126,0.000270802,0.000270802,0.000270802
32,4476.02,0.09223,0.90909,0.98864,0.38813,0.000257595,0.000257595,0.000257595
33,4619.09,0.09299,0.90909,0.98864,0.32555,0.000244389,0.000244389,0.000244389
34,4748.69,0.07947,0.89773,0.98864,0.38747,0.000231182,0.000231182,0.000231182
35,4899.67,0.08251,0.92045,0.98864,0.37591,0.000217976,0.000217976,0.000217976
36,5042.64,0.07588,0.90909,0.98864,0.38421,0.000204769,0.000204769,0.000204769
37,5161.88,0.06843,0.90909,0.98864,0.38881,0.000191562,0.000191562,0.000191562
38,5290.76,0.05795,0.92045,0.98864,0.33694,0.000178356,0.000178356,0.000178356
39,5414.74,0.06803,0.94318,0.98864,0.33015,0.000165149,0.000165149,0.000165149
40,5545.46,0.06143,0.93182,0.98864,0.29976,0.000151943,0.000151943,0.000151943
41,5668.03,0.07457,0.88636,0.98864,0.37245,0.000138736,0.000138736,0.000138736
42,5800.46,0.08057,0.93182,0.98864,0.29557,0.000125529,0.000125529,0.000125529
43,5926.22,0.0674,0.92045,0.98864,0.37021,0.000112323,0.000112323,0.000112323
44,6070.79,0.04963,0.92045,0.98864,0.3399,9.91162e-05,9.91162e-05,9.91162e-05
45,6188.19,0.05486,0.93182,0.98864,0.32935,8.59096e-05,8.59096e-05,8.59096e-05
46,6312.03,0.06249,0.93182,0.98864,0.33363,7.2703e-05,7.2703e-05,7.2703e-05
47,6438.29,0.0598,0.93182,0.98864,0.36733,5.94964e-05,5.94964e-05,5.94964e-05
48,6553.63,0.05677,0.94318,0.98864,0.32155,4.62898e-05,4.62898e-05,4.62898e-05
49,6679.01,0.05866,0.93182,0.98864,0.33328,3.30832e-05,3.30832e-05,3.30832e-05
50,6802.86,0.06299,0.93182,0.98864,0.29994,1.98766e-05,1.98766e-05,1.98766e-05
